application,tag1,tag2,tag3,keybinding,function,note,,
emacs,general,,,font-lock-mode,Toggle rendering or raw text,,,
emacs,general,,,describe-mode,Shows all current modes,,,
emacs,general,,,toggle-truncate-lines,Stop line wrapping,,,
emacs,general,,,visual-line-mode,Toggle line wrapping,,,
emacs,general,,,Ctrl-x 5 2,Open new emacs window (instance),,,
emacs,general,,,gg=G,Format buffer,,,
emacs,general,,,C-Space (in helm-mini),Mark buffer in helm list,,,
emacs,general,,,Alt-Shift-D,Delete marked buffers,,,
emacs,general,,,C-x C- + /-,increase/decrease font size,,,
emacs,general,,,delete-trailing-whitespace,Delete trailing whitespace,,,
emacs,general,,,centered-point-mode,Center the cursor in window,,,
emacs,general,,,vdiff,Diff two files similar to VimDiff,,,
emacs,general,,,M-x find-file,Tramp ssh connection,/ssh:<username>@<ip-address>:<path>a,,
emacs,evil,,,<leader>note,org-roam-find-file,,,
emacs,evil,leader,,<leader>q,kill buffer,,,
emacs,evil,leader,,<leader>k,kill buffer and window,,,
emacs,evil,leader,,<leader>d,delete window,,,
emacs,evil,leader,,<leader>b,helm-mini (buffer switch),,,
emacs,evil,leader,,<leader>h,fzf find file,,,
emacs,evil,leader,,<leader>tt,save buffer,,,
emacs,evil,leader,,<leader>m,bookmark set,,,
emacs,evil,leader,,<leader>ne,dired-sidebar-toggle-sidebar,,,
emacs,evil,leader,,<leader>s,go to visible char,,,
emacs,evil,leader,,<leader>l,go to visible line,,,
emacs,evil,leader,,<leader>r,org-roam connections,,,
emacs,evil,leader,,<leader>(pipe),vertical split,,,
emacs,evil,leader,,<leader>-,split,,,
emacs,evil,leader,,<leader>[,swap split vertical/horizontal,,,
emacs,evil,leader,,<leader>],swap split positions,,,
emacs,evil,leader,,<leader>full,fullscreen,,,
emacs,evil,leader,,<leader>fl,toggle font-lock-mode,,,
emacs,evil,leader,,<leader>which,which-key,,,
emacs,evil,leader,,<leader>term,term-other-window,,,
emacs,evil,leader,,<leader>comm,comment line,,,
emacs,evil,leader,,<leader>time,org-time-stamp,,,
emacs,evil,leader,,<leader>i,org-roam-jump-to-index,,,
emacs,evil,leader,,<leader>cc,toggle checkbox,,,
emacs,evil,leader,,<leader>cn,new todo header,,,
emacs,evil,leader,,<leader>obs,insert structure template (block),,,
emacs,evil,,,S<textobject>,Surround visual selection with object,,,
emacs,evil,,,ysiw<textobject>,Surround word with object,,,
emacs,evil,pdf,,<leader>m,Set bookmark,,,
emacs,org,,,'# + ATTR_ORG: :width 600',Set inline image size,,,
emacs,org,,,org-table-create,Create Table,,,
emacs,org,,,org-table-create-from-region,Table from selected region,,,
emacs,org,,,org-toggle-inline-images,Show/hide inline images,,,
emacs,org,,,M-<up>/<down>,Move header / list item,,,
emacs,org,,,M-<left>/<right>,Promote/demote header / list item,,,
emacs,org,,,Shift-<left>/<Right>,Rotate TODO status,,,
emacs,org,,,Ctrl-c Ctrl-,,Insert template (code block = s),,
emacs,org,,,org-roam-find-file,<leader>note,,,
emacs,org,,,C-u C-c C-c,Convert list item to checkbox,,,
emacs,org,,,C-x n w,Undo narrow in org-mode,,,
emacs,org,,,x (org-agenda-mode),Close all agenda buffers,,,
emacs,org,,,C-c C-c,toggle checkbox,,,
emacs,org,,,org-roam-db-build-cache,Rebuild the roam db,,,
emacs,org,,,C-c C-l,Edit link/description under point,,,
vim,move,,,h,left,,,
vim,move,,,j,down,,,
vim,move,,,k,up,,,
vim,move,,,l,right,,,
vim,move,,,H,to top of screen,,,
vim,move,,,M,to middle of screen,,,
vim,move,,,L,to bottom of screen,,,
vim,move,,,w,jump to start of next word,,,
vim,move,,,W,jump to start of next word,can contain punctuation,,
vim,move,,,e,jump to end of next word,,,
vim,move,,,E,jump to end of next word,words can contain punctuation,,
vim,move,,,b,jump back to start of previous word,,,
vim,move,,,B,jump back to start of previous word,words can contain punctuation,,
vim,move,,,0,jump to the start of the line,,,
vim,move,,,^,jump to first non-blank char of line,,,
vim,move,,,$,jump to end of the line,,,
vim,move,,,g_,jump to last non-blank char of line,,,
vim,move,,,gg,go to the first line of the document,,,
vim,move,,,G,go to the last line of the document,,,
vim,move,,,5G,go to line 5,,,
vim,move,,,fx,jump to next occurrence of char x,,,
vim,move,,,},jump to next paragraph,or function/block when editing code,,
vim,move,,,{,jump to previous paragraph,or function/block when editing code,,
vim,move,,,zz,center cursor on screen,,,
vim,move,,,Ctrl + b,move back one full screen,,,
vim,move,,,Ctrl + f,move forward one full screen,,,
