application,tag1,tag2,tag3,keybinding,function,note,,
vim,move,,,h,left,,,
vim,move,,,j,down,,,
vim,move,,,k,up,,,
vim,move,,,l,right,,,
vim,move,,,H,to top of screen,,,
vim,move,,,M,to middle of screen,,,
vim,move,,,L,to bottom of screen,,,
vim,move,,,w,jump to start of next word,,,
vim,move,,,W,jump to start of next word,can contain punctuation,,
vim,move,,,e,jump to end of next word,,,
vim,move,,,E,jump to end of next word,words can contain punctuation,,
vim,move,,,b,jump back to start of previous word,,,
vim,move,,,B,jump back to start of previous word,words can contain punctuation,,
vim,move,,,0,jump to the start of the line,,,
vim,move,,,^,jump to first non-blank char of line,,,
vim,move,,,$,jump to end of the line,,,
vim,move,,,g_,jump to last non-blank char of line,,,
vim,move,,,gg,go to the first line of the document,,,
vim,move,,,G,go to the last line of the document,,,
vim,move,,,5G,go to line 5,,,
vim,move,,,fx,jump to next occurrence of char x,,,
vim,move,,,},jump to next paragraph,or function/block when editing code,,
vim,move,,,{,jump to previous paragraph,or function/block when editing code,,
vim,move,,,zz,center cursor on screen,,,
vim,move,,,Ctrl + b,move back one full screen,,,
vim,move,,,Ctrl + f,move forward one full screen,,,
vim,move,,,Ctrl + d,move forward 1/2 a screen,,,
vim,move,,,Ctrl + u,move back 1/2 a screen,,,
vim,insert,,,i,insert before the cursor,,,
vim,insert,,,I,insert at the beginning of the line,,,
vim,insert,,,a,insert (append) after the cursor,,,
vim,insert,,,A,insert (append) at the end of line,,,
vim,insert,,,o,new line below current line,,,
vim,insert,,,O,new line above current line,,,
vim,insert,,,Esc,exit insert mode,,,
vim,edit,,,r,replace a single character,,,
vim,edit,,,R,enter overwrite mode,,,
vim,edit,,,J,join line below to the current one,,,
vim,edit,,,ci,change in (ie. change word = ciw),,,
vim,edit,,,cc,replace) entire line,,,
vim,edit,,,cw,replace) to start of the next word,,,
vim,edit,,,ce,replace) to end of the next word,,,
vim,edit,,,cb,replace) to start of the previous word,,,
vim,edit,,,c0,replace) to start of the line,,,
vim,edit,,,c$,replace) to end of the line,,,
vim,edit,,,s,delete character and substitute text,,,
vim,edit,,,S,delete line and substitute text,same as cc,,
vim,edit,,,xp,transpose two letters,delete and paste,,
vim,edit,,,.,repeat last command,,,
vim,edit,,,u,undo,,,
vim,edit,,,Ctrl + r,redo,,,
vim,edit,macro,,Use q<alias>,start recording a macro,,,
vim,edit,macro,,Use @<alias>,run macro,,,
vim,visual,,,v,start visual mode,,,
vim,visual,,,V,start linewise visual mode,,,
vim,visual,,,o,move to other end of marked area,,,
vim,visual,,,O,move to other corner of block,,,
vim,visual,,,aw,mark a word,,,
vim,visual,,,ab,a block with (),,,
vim,visual,,,aB,a block with {},,,
vim,visual,,,ib,inner block with (),,,
vim,visual,,,iB,inner block with {},,,
vim,visual,,,Esc,exit visual mode,,,
vim,visual,,,Ctrl  +  v,start visual block mode,,,
vim,visual,,,>,shift text right,,,
vim,visual,,,<,shift text left,,,
vim,visual,,,y,yank (copy) marked text,,,
vim,visual,,,d,delete marked text,,,
vim,visual,,,~,switch case,,,
vim,cut,paste,,dtc,Delete to character,,,
vim,cut,paste,,yy,yank (copy) a line,,,
vim,cut,paste,,2yy,yank (copy) 2 lines,,,
vim,cut,paste,,yw,yank (copy) the char of the word,to the start of the next word,,
vim,cut,paste,,y$,yank (copy) to end of line,,,
vim,cut,paste,,p,paste the clipboard after cursor,,,
vim,cut,paste,,P,paste before cursor,,,
vim,cut,paste,,dd,cut a line,,,
vim,cut,paste,,2dd,cut 2 lines,,,
vim,cut,paste,,dw,cut the char of the word,to the start of the next word,,
vim,cut,paste,,D,cut to the end of the line,,,
vim,cut,paste,,d$,cut to the end of the line,,,
vim,cut,paste,,d^,cut to the first non-blank,,,
vim,cut,paste,,d0,cut to the begining of the line,,,
vim,cut,paste,,x,cut character,,,
vim,search,replace,,spacebar,search,,,
vim,search,replace,,ctrl + spacebar,search prev,,,
vim,search,replace,,/pattern,search for pattern,,,
vim,search,replace,,?pattern,search backward for pattern,,,
vim,search,replace,,n,repeat search in same direction,,,
vim,search,replace,,N,repeat search in opposite direction,,,
vim,search,replace,,:%s/old/new/g,replace old with new through file,,,
vim,search,replace,,:%s/old/new/gc,replace old with new through file,with confirmations,,
vim,search,replace,,:noh,remove highlighting of search matches,,,
vim,search,multi,,:vimgrep /pattern/ {file},search for pattern in multiple files,,,
vim,search,multi,,:cn,jump to the next match,,,
vim,search,multi,,:cp,jump to the previous match,,,
vim,search,multi,,:copen,open a window with the list of matches,,,
vim,exit,,,:w or :w /path,write (save) file,don't exit,,
vim,exit,,,:W,write (save) file as sudo,don't exit,,
vim,exit,,,:w !sudo tee %,write out the current file using sudo,,,
vim,exit,,,:wq or :x or ZZ,write (save) and quit,,,
vim,exit,,,:q,quit,fails if there are unsaved changes,,
vim,exit,,,:q! or ZQ,quit and throw away unsaved changes,,,
vim,exit,,,:bd or bd!,Close the file (buffer),,,
vim,multi,file,,:e file,edit a file in a new buffer,,,
vim,multi,file,,:bnext or :bn,go to the next buffer,,,
vim,multi,file,,:bprev or :bp,go to the previous buffer,,,
vim,multi,file,,:bd,delete a buffer (close a file),,,
vim,multi,file,,:ls,list all open buffers,,,
vim,multi,file,,:sp file,open in buffer with split,,,
vim,multi,file,,:vsp file,open in buffer with vertical split,,,
vim,multi,file,,Ctrl + wv,split window vertically,,,
vim,multi,file,,Ctrl + ws,split window horizontally,,,
vim,multi,file,,Ctrl + ww,switch windows,,,
vim,multi,file,,Ctrl + wq,quit a window,,,
vim,multi,file,,Ctrl + wv,split window vertically,,,
vim,multi,file,,Ctrl + wh,cursor to left window,,,
vim,multi,file,,Ctrl + wl,cursor to right window),,,
vim,multi,file,,Ctrl + wj,cursor to window belowit),,,
vim,multi,file,,Ctrl + wk,cursor to window aboveit),,,
vim,multi,file,,':windo diffthis',diff current windows into a new buffer,,,
vim,tabs,,,<number>gt,move to tab <number>,,,
vim,tabs,,,Ctrl + wT,move the current split into a new tab,,,
vim,tabs,,,gt or :tabnext or :tabn,move to the next tab,,,
vim,tabs,,,gT or :tabprev or :tabp,move to the previous tab,,,
vim,tabs,,,:tabmove <number>,move current tab to the nth position,indexed from 0,,
vim,tabs,,,:tabclose or :tabc,close the current tab and all windows,,,
vim,tabs,,,:tabonly or :tabo,close all tabs except the current one,,,
vim,tabs,,,:tabdo command,run the command on all tabs,e.g. :tabdo q - closes all opened tabs,,
vim,folding,,,zo / zO,Open,,,
vim,folding,,,zc / zC,Close,,,
vim,folding,,,za / zA,Toggle,,,
vim,folding,,,zv,Open folds for this line,,,
vim,folding,,,zM,Close all,,,
vim,folding,,,zR,Open all,,,
vim,folding,,,zm,Fold more (foldlevel  + = 1),,,
vim,folding,,,zr,Fold less (foldlevel -= 1),,,
vim,folding,,,zx,Update folds,,,
vim,sessions,,,""":mksession /path""",Save the curren vim session,,,
vim,sessions,,,""":source /path""",Load the specified vim session,,,
vim,command,,,line: iab,Insert timestamp,,,
vim,command,,,line: $q,Delete until the last slash,,,
vim,custom,leader,,<leader>s,Invoke AceJump,,,
vim,custom,leader,,<leader>m,Move one char right in insert mode,,,
vim,custom,leader,,<leader>ev,Edit current .vimrc,,,
vim,custom,leader,,<leader>sv,Reload .vimrc,,,
vim,custom,leader,,<leader>cal,Calendar,,,
vim,custom,leader,folding,<leader>f,Fold all on indents,,,
vim,custom,leader,,<leader>ne,Open file explorer (Netrw),,,
vim,custom,leader,,<leader>tt,Save,,,
vim,custom,,,nn,Exit insert mode,,,
vim,custom,,,gf,Goto file,,,
vim,custom,,,gd,Goto function definition,,,
vim,custom,,,ctrl + o,Vim back (from links),,,
vim,custom,,,g - Ctrl + G,Word count,,,
vim,custom,,,Ctrl - w-=,Resize splits to be equal,,,
vim,custom,,,Ctrl - w-HJKL,Move split to direction,,,
vim,custom,,,':TOHtml',Export buffer to HTML page,,,
vim,custom,,,':v/\S/d',Remove all blank lines,,,
vim,custom,,,':set syntax=sql',Set syntax highlighting,,,
